word,count
及,10
循環,1
其中,1
同樣,1
按部就班,1
新政府,27
拋棄,1
國家,28
20,4
則是關,1
一點,1
小朋友,1
並且,4
處理過,1
尚未,1
能,1
可以,6
先唱,1
靭,1
第二件,1
副,2
或是,1
開始,1
依照,1
過去,5
可能性,1
公務員,1
一直,2
方向,1
眼前,1
主導,1
加強,1
改革,15
缺席,2
重大,1
故事,1
自主,1
一月,1
舊,1
，,336
萬,1
宣示,1
集結,1
不能,3
期待,3
共同,15
條例,1
擔任,1
各種,3
透過,6
破產,1
能源,3
謹慎,1
求同,2
自治,1
雜,1
行政院,1
全國,1
執行,1
交到,1
統性,1
人力,1
三十年,1
多國家,1
真相,4
日本,1
伴關,1
時,1
合作,10
研究,1
栽培,1
歷史會,2
台語,1
召開,2
每,3
看到,1
自由人,1
領土,1
南向,2
過許,1
籌碼,1
驚,2
演講,1
誕生,1
幸福,1
變好,1
缺乏,2
此,1
成功,1
這一邊,1
無奈,1
島上,1
解讀,1
鼓,1
可靠,1
走,1
沒,5
治理,1
執,1
一首,1
彼,1
更加,1
這一條,2
很多,2
一道,1
代表,2
一代人,1
制度,4
兩岸,8
有限,1
整體,1
把,8
不,7
後,3
多元,2
向,3
地球,3
進來,1
可行,1
結束,2
絕不退,1
立刻,2
所必須,1
調查,2
致力,1
生活,4
辦法,1
一群,1
走出,1
記取,1
及其,1
不過,3
中,3
親近,1
成果,2
土地,2
就,6
新,12
根據,1
面向,1
完成,3
印度,1
內部,1
中小,1
多元性,1
第三次,1
交在,1
職業,1
家屬,2
實現,2
專責,1
規模,1
老化,1
課題,1
所講,1
節目,1
保守,1
史事,3
人才,1
關鍵,5
策略,1
努力,6
應擱,1
臨,2
達成,2
利益,1
進化,1
勇敢,4
文化,3
反毒,1
同胞,3
兩會,1
有效率,1
穩定,5
歷史,3
脫節,1
呼籲,1
控制,1
經驗,1
事,1
第十四,1
變成,1
自由,4
驕傲,1
巴黎,1
敏捷,1
政黨,1
尤其,3
催生,1
勞動,1
多,1
區域,11
議題,14
順序,1
遙無期,1
誠懇,1
執政黨,1
全民,2
既有,2
擔子,1
善,1
全球,8
預計,1
就業,1
不應,1
同步,1
領導,2
根本,1
喪失,1
輕人,8
錯誤,1
主人,1
用行動,1
階層,1
難,1
像,1
脫胎,1
隨時,1
分裂,1
最關心,1
支持,1
會持續,1
強調,1
行動,2
不敢,1
更要,1
他,2
政府,10
協力,1
機制,5
不安,1
TPP,1
來面,3
反恐,1
尊重,1
動員,1
兩個,2
再生,1
現階段,2
但是,4
十月,1
累積,1
將,2
來,20
提出,2
」,7
僵化,1
參與,4
和,33
進步,1
有效,3
不可或缺,2
談判,1
清楚,1
當選,1
置,1
緊密,3
最劇烈,1
更好,3
告書,1
意義,1
善用,1
辦,1
師,1
正義的,2
十六日,1
建仁,2
及人權,1
感到,1
一環,1
網,2
法律,2
通者,1
宣誓,1
若干,1
一條,1
一天,3
壓力,1
轉機,1
等,3
變動,2
永遠,1
自己,4
完全,1
回應,2
嚴重,2
往前走,1
互信,1
著,2
台灣會,1
犯罪,2
靈活,1
公室,1
受害者,2
保育,1
看見,1
幫,1
領導人,1
照料,1
跨部會,1
誠實面,1
不但,2
先來後到,1
無論,2
乃至,1
關聯,1
時刻,2
勞工,2
震,1
最,6
它,2
元素,1
總統,8
各個,1
剛剛,1
而是,3
成為,2

,113
家庭,2
讓,24
退休,1
對立,8
生活照,1
肩負,1
新興,2
打造,8
快速,1
終遙,1
剛才,1
有系,1
最誠懇,1
災害,1
這是,5
友善,1
手上,2
幫助,2
加入,1
任期,1
工作,4
關,2
安全,7
並參,1
展開,2
帶,1
社會,19
競爭力,1
參,4
無止,1
成長,2
互助,1
臨瓶,1
持續,3
思維,1
現在,4
定期,1
整個,4
逐步,2
站,2
國家極,1
做,3
事件,2
對岸,1
模範生,1
盡,2
今年,1
外交,2
解決,4
活力,2
中央,1
此時,1
之前,1
現有,1
躁進,1
一起,8
演說,1
甚至,1
一年,1
找,1
認知,2
感謝,4
下一代,1
體系,2
減輕,1
了,9
產業,3
方面,1
對,19
全方位,1
鼓勵,1
對亞洲,1
這些,5
這塊,2
差距,1
為區域,1
必定,1
發揮,1
五大,1
；,10
嚴肅,2
ㄟ,1
對決,1
積極溝,1
緊鑼密,1
直選,1
外貿易,1
不前,1
作為,2
選擇,2
會以,1
交流,3
台灣,39
傷痕,1
先,1
近年,1
共享,2
為,10
傷痛,1
於,9
身上,2
揭示,1
動能,2
挑戰,1
使命,2
起,1
主張,1
面,1
鏈,1
現狀,1
將謹守,1
發動,1
危機,1
齡社會,1
四個,1
夥,1
表裡,1
分配,1
極參,1
這是歷,1
包含,1
正,1
打擊,2
東海及,1
方式,3
規定,1
建立,6
奮鬥,2
雙方,1
強化,4
我會,3
中華民國,5
民意,1
長,5
符合,1
下定,1
結合,1
曾,3
正義調,1
捍衛,2
眼光,1
